Topic Category,PDF,Text
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Af- ter such notification, the parent or guardian shall provide adequate supervision for the student during the period of expulsion."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Educa- tion Code 37.009(g)-(h) Not later than the second business day after the date an expulsion hearing is held, a board or its designee shall deliver a copy of the expulsion order and any information required under Family Code 52.04 to the authorized officer of the juvenile court in the county in which the student resides."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Education Code 37.007(g) If a student withdraws from a district before an order for expulsion is entered, the principal or board, as appropriate, may complete the proceedings and enter an order."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"If the student subsequently enrolls in the district during the same or subsequent school year, the dis- trict may enforce the order at that time except for any period of the expulsion that has been served by the student in another district that honored the order."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Ed- ucation Code 37.009(i) If, during the term of expulsion, a student engages in additional conduct for which placement in a DAEP or expulsion is required or permitted, additional proceedings may be conducted and the prin- cipal or board, as appropriate, may enter an additional order."
number of times transfer or referral to juvenile justice program is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"denied, 368 U.S. 930 (1961) A court may not order an expelled student to attend a regular classroom, a regular campus, or a district DAEP as a condition of probation."
number of times transfer or referral to juvenile justice program is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"A court may order a student to attend a regular classroom, a regu- lar campus, or a district DAEP if the district has entered into a memorandum of understanding (MOU) with the juvenile board for the county in which the district’s central administrative office is lo- cated, concerning the juvenile probation department’s role in su- pervising and providing other support services for students in DAEPs."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Education Code 37.010(c) In a county that operates a JJAEP, a district is responsible for pro- viding an immediate educational program to a student who en- gages in behavior for which expulsion is permitted but not required under Education Code 37.007, but who is not eligible for admission into the JJAEP in accordance with an MOU."
number of times transfer or referral to juvenile justice program is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"After an expelled student has successfully completed any court disposition requirements, including conditions of a deferred prose- cution, or conditions required by the prosecutor or probation de- partment, a district may not refuse to admit the student if the stu- dent meets the requirements for admission."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"Education Code 37.010(f) If a student has been expelled from another school district, the ex- pelling district shall provide to a district in which the student enrolls a copy of the expulsion order and the referral to the authorized offi- cer of the juvenile court."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"A district in which the student enrolls may continue the expulsion under the terms of the order, may place the student in a DAEP for the period specified by the expulsion order, or may allow the student to attend regular classes without complet- ing the period of expulsion."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,The out-of-state district provides a copy of the expulsion or- der; and 2.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,The grounds for the expulsion are also grounds for expulsion in the district in which the student is enrolling.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,Education Code 37.010(g-1) Note:See FOF for provisions concerning expulsion of students with disabilities.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,The principal or other appropriate administrator may place a stu- dent who has been expelled under Education Code 37.007 or 37.0081 in a virtual expulsion program established by the district and provide virtual instruction and instructional materials for remote learning to the student only if: 1.
total number of disciplinary terms mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"A school district must ensure that, to the extent practicable in a vir- tual setting, the district's virtual expulsion program complies with the requirements for a disciplinary alternative education program under Education Code 37.008."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,"[See FOC] If the principal or other appropriate administrator places a student in a virtual expulsion program under this section, the school district shall ensure that the student has suitable computer equipment and internet access and provide the computer equipment and internet access if necessary."
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,The principal or other appropriate administrator shall review the placement of a student in a virtual expulsion program at least once every 45 school days after the date the placement begins to deter- mine if continued placement in the program is appropriate.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,A student placed in a virtual expulsion program shall be counted toward the district's average daily attendance for purposes of re- ceipt of state funds under the Foundation School Program if the district can confirm the student's daily attendance in the virtual ex- pulsion program.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,A district may not require a teacher who provides virtual instruction to students in a virtual expulsion program to provide virtual instruc- tion and in-class instruction for a course during the same class pe- riod.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,A teacher may not provide instruction for a virtual expulsion program course unless the teacher has completed a professional development course on virtual instruction.
number of times expulsion or synonyms is mentioned,FOD_LEGAL_-_Student_Discipline_Expulsion_LEGAL.pdf,The commissioner of education shall adopt rules requiring districts to provide basic professional development training for teachers providing instruction in a virtual expulsion program.
total number of drug or alcohol terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,104.35(a) A district may take disciplinary action pertaining to the use or pos- session of illegal drugs or alcohol against any student with a dis- ability who is currently engaging in the illegal use of drugs or in the use of alcohol to the same extent that the district would take disci- plinary action against nondisabled students.
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,Any disciplinary action regarding the student shall be deter- mined in accordance with federal law and regulations.
total number of disciplinary terms mentioned,FOF_LEGAL_-_Student_Discipline_Students_with_Disabilities_LEGAL.pdf,"Education Code 37.004(a)-(b) The methods adopted in the Student Code of Conduct [see FO] for discipline management and for preventing and intervening in stu- dent discipline problems must provide that a student who is en- rolled in the special education program may not be disciplined in a manner that results in a change in the student's educational place- ment for bullying, harassment, or making hit lists until an ARD committee meeting has been held to review the conduct."
